"Reporting.Economy.Code","Product.Sector.Code","Unit.Code","2019.","2020.","2021.","2022.E","2018.","2016.","2017.","2022.","2020.E","2021.E","2019.E","2017.E","2018.E","2016.E","2016.B","2017.B"
"008","MACL","USM",321.270161,277.123973,355.90138,NA,321.335567,250.740283,294.195699,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MAIS","USM",209.609661,196.958906,359.682578,NA,191.038981,231.71711,200.984685,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MAMT","USM",1228.602934,1212.316717,1617.005141,NA,1295.770769,1015.819946,1111.377787,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MAMTAU","USM",396.174366,379.869626,527.430032,NA,410.933645,304.948812,345.956857,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MAMTOF","USM",182.562945,173.539929,233.624779,NA,167.690476,134.40664,126.145193,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MAMTOTEP","USM",53.721067,53.071928,84.447623,NA,51.266181,43.627179,36.549004,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MAMTOTIC","USM",10.46799,7.684412,15.318849,NA,7.403566,4.037974,1.805177,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MAMTOTTL","USM",118.373888,112.783589,133.858307,NA,109.02073,86.741487,87.791012,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MAMTTE","USM",419.612153,404.486168,571.424645,NA,440.182319,325.822294,367.921875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MATE","USM",328.020198,313.155923,385.355975,NA,341.756405,259.764698,296.415657,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MI","USM",847.43322,658.945208,1253.229415,NA,797.04966,461.580036,678.768046,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","MIFU","USM",665.729328,468.871989,964.561002,NA,597.788467,375.507661,526.503136,NA,NA,NA,NA,NA,NA,NA,NA,NA
"008","TO","USM",5896.566112,5569.782501,7718.083698,NA,5925.176073,4613.440249,5270.623109,8398.700763,NA,NA,NA,NA,NA,NA,NA,NA
"012","AG","USM",NA,NA,NA,NA,NA,9630.079658,9806.631192,NA,8653.729331,9861.888024,8306.054202,NA,8395.841837,NA,NA,NA
"012","AGFO","USM",NA,NA,NA,NA,NA,8960.493623,9316.544478,NA,8162.713961,9329.230223,7748.735116,NA,7713.525398,NA,NA,NA
"012","MA","USM",NA,NA,NA,NA,NA,NA,33602.751793,NA,21846.410012,22339.807999,28152.986227,NA,30677.132411,35136.194796,NA,NA
"012","MACH","USM",NA,NA,NA,NA,NA,6112.65733,5962.265981,NA,5111.050394,5511.352075,5391.656545,NA,5350.055653,NA,NA,NA
"012","MACHPH","USM",NA,NA,NA,NA,NA,2119.034653,2022.243942,NA,1726.425715,1828.341174,1777.968839,NA,1758.838796,NA,NA,NA
"012","MACL","USM",NA,NA,NA,NA,NA,468.743222,512.147427,NA,637.976232,734.560501,831.639411,NA,752.524182,NA,NA,NA
"012","MAIS","USM",NA,NA,NA,NA,NA,3851.820906,3718.181979,NA,1712.594044,1382.04359,2602.085143,NA,2282.707876,NA,NA,NA
"012","MAMT","USM",NA,NA,NA,NA,NA,17184.731276,16446.635164,NA,8720.315684,8951.785584,12696.675776,NA,15028.343941,NA,NA,NA
"012","MAMTAU","USM",NA,NA,NA,NA,NA,3294.226691,3319.318327,NA,1755.651,1754.833998,3518.349763,NA,4418.258686,NA,NA,NA
"012","MAMTOF","USM",NA,NA,NA,NA,NA,2415.189442,2387.638921,NA,1180.35461,1455.08966,1660.431081,NA,1630.576266,NA,NA,NA
"012","MAMTOTEP","USM",NA,NA,NA,NA,NA,459.277294,892.832145,NA,241.434918,261.200559,310.21411,NA,361.495209,NA,NA,NA
"012","MAMTOTIC","USM",NA,NA,NA,NA,NA,124.066096,139.326928,NA,24.002943,27.092175,27.539464,NA,22.286239,NA,NA,NA
"012","MAMTOTTL","USM",NA,NA,NA,NA,NA,1831.846052,1355.479848,NA,914.916749,1166.796926,1322.677507,NA,1246.794817,NA,NA,NA
